Day of Year,Twitter Handle,Twitter Username,Last Price,Created On
January 01
Co_BreakingBits,Jesse Pinkman,0.5184,2025-01-01T20:23:15.210Z
Jaewozok,Jae9000🔺,0.3136,2025-01-01T07:23:18.114Z
T3kNoLogic,T3kNo-Logic🏴‍☠️∞,0.2304,2025-01-01T22:25:21.250Z
itscryptotheo,theo ∞,0.16,2025-01-01T23:45:33.071Z
ouwe_piet,Ouwe Piet,0.16,2025-01-01T20:05:43.400Z
PeculiarHopes,TeeG | Peculiar Hope,0.1296,2025-01-01T23:45:39.405Z
lawrencedunne11,CommonSense(R),0.1296,2025-01-01T22:17:36.163Z
Loukilimorad1,Loukili Machiavel,0.1024,2024-01-01T14:19:50.376Z
boochyl,adul,0.1024,2025-01-01T04:23:10.864Z
January 02
shillgatesy,shillgatesy.exe ∞,2.9584,2025-01-02T01:04:46.395Z
Meta_Owl,meta-owl.ic,1.0816,2025-01-02T04:25:07.757Z
RailmanICP,RAILMAN.ICP,0.36,2025-01-02T04:14:53.274Z
AaronBremser_,Aaron 🆎,0.3136,2025-01-02T00:05:20.012Z
JordyPordy0,Jordan,0.2704,2025-01-02T00:09:16.314Z
BigHonkeyKong,MetaverseMike.ICP,0.1296,2025-01-02T08:50:15.398Z
GG_ICP,GG,0.1296,2025-01-02T02:16:20.697Z
icpurpz,ic.purpz,0.1296,2025-01-02T08:48:18.463Z
long2408,baolongt,0.1024,2025-01-02T07:48:25.299Z
January 03
WILD_PLANET_ART,SUNDAR 👑 🔺🆓,0.9216,2024-01-03T07:59:44.803Z
January 05
zubizubizu39,zubo,0.0784,2024-01-05T22:33:47.103Z
January 06
CryptoGnomie,Gnomie🔺️ⓥ,0.1296,2024-01-06T05:55:41.434Z
January 07
OneWingedShadow,0xShadow 🧸,4.3264,2024-01-07T21:37:41.151Z
kilicsevket,MrSword,0.4096,2024-01-07T21:49:18.891Z
January 08
ShuttleIO,Shuttle.io,0.4624,2024-01-08T16:59:50.675Z
mahnoornaeem341,mahnoor naeem 🤝CRYPTO BABA,0.0784,2024-01-08T07:13:32.746Z
January 09
NoxPaintings,"Nox | Paintings, pain and renders",1.8496,2024-01-09T08:11:13.062Z
bitbitcrypto,Bitbit.BTFD,0.36,2024-01-09T04:11:08.628Z
January 10
ItsaRockonAvax,ROCK🔺,0.1024,2024-01-10T06:33:51.718Z
January 11
coop_did_it,COOP!,0.16,2024-01-11T23:02:18.512Z
kidszab,Kid.,0.1024,2024-01-11T22:00:39.060Z
January 12
TheCrypto_B,Crypto B 👑 (Never DM first),0.1024,2024-01-12T06:58:00.820Z
